ECU0: SWC0_CC, ECU0: SWC1
1880, ECU0: SWC1, 0
1880, ECU0: SWC0_CC, 1
1900, ECU0: SWC0_CC, 0
1900, ECU0: SWC1, 1
1920, ECU0: SWC1, 0
1920, ECU0: SWC0_CC, 1
1940, ECU0: SWC0_CC, 0
1940, ECU0: SWC1, 1
1960, ECU0: SWC1, 0
1960, ECU0: SWC0_CC, 1
1980, ECU0: SWC0_CC, 0
1980, ECU0: SWC1, 1
2000, ECU0: SWC1, 0
2000, ECU0: SWC0_CC, 1
2020, ECU0: SWC0_CC, 0
2020, ECU0: SWC1, 1
2040, ECU0: SWC1, 0
2040, ECU0: SWC0_CC, 1
2060, ECU0: SWC0_CC, 0
2060, ECU0: SWC1, 1
2080, ECU0: SWC1, 0
2080, ECU0: SWC0_CC, 1
2100, ECU0: SWC0_CC, 0
2100, ECU0: SWC1, 1
2120, ECU0: SWC1, 0
2120, ECU0: SWC0_CC, 1
2140, ECU0: SWC0_CC, 0
2140, ECU0: SWC1, 1
2160, ECU0: SWC1, 0
2160, ECU0: SWC0_CC, 1
2180, ECU0: SWC0_CC, 0
2180, ECU0: SWC1, 1
2200, ECU0: SWC1, 0
2200, ECU0: SWC0_CC, 1
2220, ECU0: SWC0_CC, 0
2220, ECU0: SWC1, 1
2240, ECU0: SWC1, 0
2240, ECU0: SWC0_CC, 1
2260, ECU0: SWC0_CC, 0
2260, ECU0: SWC1, 1
2280, ECU0: SWC1, 0
2280, ECU0: SWC0_CC, 1
2300, ECU0: SWC0_CC, 0
2300, ECU0: SWC1, 1
2320, ECU0: SWC1, 0
2320, ECU0: SWC0_CC, 1
2340, ECU0: SWC0_CC, 0
2340, ECU0: SWC1, 1
2360, ECU0: SWC1, 0
2360, ECU0: SWC0_CC, 1
2380, ECU0: SWC0_CC, 0
2380, ECU0: SWC1, 1
2400, ECU0: SWC1, 0
2400, ECU0: SWC0_CC, 1
2420, ECU0: SWC0_CC, 0
2420, ECU0: SWC1, 1
2440, ECU0: SWC1, 0
2440, ECU0: SWC0_CC, 1
2460, ECU0: SWC0_CC, 0
2460, ECU0: SWC1, 1
2480, ECU0: SWC1, 0
2480, ECU0: SWC0_CC, 1
2500, ECU0: SWC0_CC, 0
2500, ECU0: SWC1, 1
2520, ECU0: SWC1, 0
2520, ECU0: SWC0_CC, 1
2540, ECU0: SWC0_CC, 0
2540, ECU0: SWC1, 1
2560, ECU0: SWC1, 0
2560, ECU0: SWC0_CC, 1
2580, ECU0: SWC0_CC, 0
2580, ECU0: SWC1, 1
2600, ECU0: SWC1, 0
2600, ECU0: SWC0_CC, 1
2620, ECU0: SWC0_CC, 0
2620, ECU0: SWC1, 1
2640, ECU0: SWC1, 0
2640, ECU0: SWC0_CC, 1
2660, ECU0: SWC0_CC, 0
2660, ECU0: SWC1, 1
2680, ECU0: SWC1, 0
2680, ECU0: SWC0_CC, 1
2700, ECU0: SWC0_CC, 0
2700, ECU0: SWC1, 1
2720, ECU0: SWC1, 0
2720, ECU0: SWC0_CC, 1
2740, ECU0: SWC0_CC, 0
2740, ECU0: SWC1, 1
2760, ECU0: SWC1, 0
2760, ECU0: SWC0_CC, 1
2780, ECU0: SWC0_CC, 0
2780, ECU0: SWC1, 1
2800, ECU0: SWC1, 0
2800, ECU0: SWC0_CC, 1
2820, ECU0: SWC0_CC, 0
2820, ECU0: SWC1, 1
2840, ECU0: SWC1, 0
2840, ECU0: SWC0_CC, 1
2860, ECU0: SWC0_CC, 0
2860, ECU0: SWC1, 1
2880, ECU0: SWC1, 0
2880, ECU0: SWC0_CC, 1
2900, ECU0: SWC0_CC, 0
2900, ECU0: SWC1, 1
2920, ECU0: SWC1, 0
2920, ECU0: SWC0_CC, 1
2940, ECU0: SWC0_CC, 0
2940, ECU0: SWC1, 1
2960, ECU0: SWC1, 0
2960, ECU0: SWC0_CC, 1
2980, ECU0: SWC0_CC, 0
2980, ECU0: SWC1, 1
3000, ECU0: SWC1, 0
3000, ECU0: SWC0_CC, 1
3020, ECU0: SWC0_CC, 0
3020, ECU0: SWC1, 1
3040, ECU0: SWC1, 0
3040, ECU0: SWC0_CC, 1
3060, ECU0: SWC0_CC, 0
3060, ECU0: SWC1, 1
3080, ECU0: SWC1, 0
3080, ECU0: SWC0_CC, 1
3100, ECU0: SWC0_CC, 0
3100, ECU0: SWC1, 1
3120, ECU0: SWC1, 0
3120, ECU0: SWC0_CC, 1
3140, ECU0: SWC0_CC, 0
3140, ECU0: SWC1, 1
3160, ECU0: SWC1, 0
3160, ECU0: SWC0_CC, 1
3180, ECU0: SWC0_CC, 0
3180, ECU0: SWC1, 1
3200, ECU0: SWC1, 0
3200, ECU0: SWC0_CC, 1
3220, ECU0: SWC0_CC, 0
3220, ECU0: SWC1, 1
3240, ECU0: SWC1, 0
3240, ECU0: SWC0_CC, 1
3260, ECU0: SWC0_CC, 0
3260, ECU0: SWC1, 1
3280, ECU0: SWC1, 0
3280, ECU0: SWC0_CC, 1
3300, ECU0: SWC0_CC, 0
3300, ECU0: SWC1, 1
3320, ECU0: SWC1, 0
3320, ECU0: SWC0_CC, 1
3340, ECU0: SWC0_CC, 0
3340, ECU0: SWC1, 1
3360, ECU0: SWC1, 0
3360, ECU0: SWC0_CC, 1
3380, ECU0: SWC0_CC, 0
3380, ECU0: SWC1, 1
3400, ECU0: SWC1, 0
3400, ECU0: SWC0_CC, 1
3420, ECU0: SWC0_CC, 0
3420, ECU0: SWC1, 1
3440, ECU0: SWC1, 0
3440, ECU0: SWC0_CC, 1
